uuid_ts,timestamp,sent_at,received_at,original_timestamp,last_name,first_name,email,context_screen_height,context_screen_width,context_screen_density,context_screen_inner_height,context_screen_inner_width,context_campaign_term,context_campaign_source,context_campaign_name,context_campaign_medium,context_campaign_content,anonymous_id,user_id,context_ip,id,context_session_start,context_session_id,context_library_version,context_page_url,state,address_country,currency
2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,Nicholson,Christopher,nicholson.christopher994@example.org,1169,1800,2,858,1340,abandon cart,email,cmpn_125,email,gsf4dsgs,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,29.73.82.32,VOYe8acYNA785U9d,2024-11-15T03:36:32.000000Z,1731621992,1.1.4,www.choixcart.com/signup,VA,US,usd
2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,Nicholson,Christopher,nicholson.christopher994@example.org,900,1600,1,739,1600,paid users,bing,cmpn_830,ppc,cdasareravf,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,220.160.141.46,kzhGKPmiFX8VQAXT,2024-12-20T12:36:47.000000Z,1734678407,1.1.4,www.choixcart.com/signup,DE,US,usd
2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,2024-11-10T09:26:27.000000Z,Parsons,Daniel,daniel.parsons285@example.net,864,1536,1,738,1522,brand launch,email,cmpn_421,email,53dsvdsa,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,62.33.122.6,NyAiu4zuX0V5DuOR,2024-10-21T09:25:02.000000Z,1729482902,0.10.4,www.choixcart.com/signup,SC,US,usd
2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,2024-12-15T18:26:52.000000Z,Parsons,Daniel,daniel.parsons285@example.net,1080,1920,1,969,1920,new users,google,cmpn_533,ppc,gfaa4rvdsa,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,130.132.145.163,zto7DJKhQPDqLZxW,2024-12-05T18:25:45.000000Z,1733403345,0.10.4,www.choixcart.com/signup,WV,US,usd
2025-02-19T21:31:31.000000Z,2025-02-19T21:31:31.000000Z,2025-02-19T21:31:31.000000Z,2025-02-19T21:31:31.000000Z,2025-02-19T21:31:31.000000Z,Parsons,Daniel,daniel.parsons285@example.net,720,1280,1,551,1280,paid users,bing,cmpn_830,ppc,cdasareravf,c24f523c4a06e9e8ce68e5fc60305b8b,daniel.parsons285@example.net,179.195.68.95,9UNPSenWNKeNdqtc,2025-02-12T21:29:54.000000Z,1739375994,0.10.4,www.choixcart.com/signup,CA,US,usd
2024-11-06T18:54:16.000000Z,2024-11-06T18:54:16.000000Z,2024-11-06T18:54:16.000000Z,2024-11-06T18:54:16.000000Z,2024-11-06T18:54:16.000000Z,Vang,James,jamesvang@example.com,864,1536,1,738,1522,,,,,,72da181860abcd96fb0e11a3b62c6ce5,jamesvang@example.com,138.28.119.13,DNS5mCQajS7fln6B,2024-10-31T18:52:28.000000Z,1730380948,0.10.4,www.choixcart.com/signup,ND,US,usd
2024-12-26T01:27:33.000000Z,2024-12-26T01:27:33.000000Z,2024-12-26T01:27:33.000000Z,2024-12-26T01:27:33.000000Z,2024-12-26T01:27:33.000000Z,Vang,James,jamesvang@example.com,864,1536,1,738,1522,,,,,,72da181860abcd96fb0e11a3b62c6ce5,jamesvang@example.com,117.5.250.255,CgTRNnrXMu0seqf9,2024-12-26T01:26:23.000000Z,1735156583,0.10.4,www.choixcart.com/login,GA,US,usd
2025-01-27T07:59:30.000000Z,2025-01-27T07:59:30.000000Z,2025-01-27T07:59:30.000000Z,2025-01-27T07:59:30.000000Z,2025-01-27T07:59:30.000000Z,Vang,James,jamesvang@example.com,780,360,3,649,360,,,,,,72da181860abcd96fb0e11a3b62c6ce5,jamesvang@example.com,46.78.50.119,gs2BwONId4e1pmkI,2025-01-20T07:58:08.000000Z,1737340088,1.0.2,www.choixcart.com/signup,NV,US,usd
2025-03-07T16:08:40.000000Z,2025-03-07T16:08:40.000000Z,2025-03-07T16:08:40.000000Z,2025-03-07T16:08:40.000000Z,2025-03-07T16:08:40.000000Z,Vang,James,jamesvang@example.com,1169,1800,2,858,1340,,,,,,72da181860abcd96fb0e11a3b62c6ce5,jamesvang@example.com,32.115.81.9,lTyubKhLD16CGhUV,2025-03-07T16:08:27.000000Z,1741343907,1.0.2,www.choixcart.com/login,OK,US,usd
2025-04-06T03:28:48.000000Z,2025-04-06T03:28:48.000000Z,2025-04-06T03:28:48.000000Z,2025-04-06T03:28:48.000000Z,2025-04-06T03:28:48.000000Z,Vang,James,jamesvang@example.com,864,1536,1,738,1522,christmas sale,google,cmpn_232,ppc,53454fasdf,72da181860abcd96fb0e11a3b62c6ce5,jamesvang@example.com,6.88.10.137,c2DPPZnG87gK6AU6,2025-04-03T03:27:10.000000Z,1743631030,0.10.4,www.choixcart.com/signup,MT,US,usd
