context_ip,context_session_start,context_session_id,context_page_url,cart_id,checkout_id,order_id,id,payment_method,event,locale,currency,channel,event_text,country_code,anonymous_id,received_at,uuid_ts,timestamp,original_timestamp,sent_at,context_screen_height,context_screen_width,context_screen_density,context_screen_inner_height,context_screen_inner_width,user_id,products,revenue,tax,shipping,total
29.73.82.32,2024-11-15T03:36:32.000000Z,1731621992,www.choixcart.com/cart/view.html?ref=nav_cart,Tf8aqXpPpcaLEi0qf7gM,hVJbI1CAad,DAaolvWEeWpw,Oi4gCRpWRjEq1M,amex,order_complete,us,usd,web,ORDER COMPLETED,us,e79e4db197cb463c5a615b9467536843,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,1169,1800,2,858,1340,nicholson.christopher994@example.org,"[{""title"": null, ""category"": ""Shirts"", ""path"": ""/p/780"", ""url"": ""www.choixcart.com/p/780"", ""price"": 16}]",12.8,1.6,1.6,14.4
220.160.141.46,2024-12-20T12:36:47.000000Z,1734678407,www.choixcart.com/cart/view.html?ref=nav_cart,V4uqLIJhs8kyNU0izyqA,9QjFJFiNpZ,2EzJXdpT63ec,kZWlfF9qUxUcTl,paypal,order_complete,us,usd,web,ORDER COMPLETED,us,e79e4db197cb463c5a615b9467536843,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,900,1600,1,739,1600,nicholson.christopher994@example.org,"[{""title"": null, ""category"": ""Watches"", ""path"": ""/p/979"", ""url"": ""www.choixcart.com/p/979"", ""price"": 113}]",90.4,11.3,11.3,101.7
117.5.250.255,2024-12-26T01:26:23.000000Z,1735156583,www.choixcart.com/cart/view.html?ref=nav_cart,e92PimV9sGZsirWCxcCA,AFHGPu6Fob,PixKXIIbjIxH,pRgd3uhoJsKDL4,paypal,order_complete,it,usd,web,ORDER COMPLETED,it,72da181860abcd96fb0e11a3b62c6ce5,2024-12-26T05:47:08.000000Z,2024-12-26T05:47:08.000000Z,2024-12-26T05:47:08.000000Z,2024-12-26T05:47:08.000000Z,2024-12-26T05:47:08.000000Z,864,1536,1,738,1522,jamesvang@example.com,"[{""title"": null, ""category"": ""Trousers"", ""path"": ""/p/839"", ""url"": ""www.choixcart.com/p/839"", ""price"": 195}]",156.0,19.5,19.5,175.5
32.115.81.9,2025-03-07T16:08:27.000000Z,1741343907,www.choixcart.com/cart/view.html?ref=nav_cart,dSGHBGcZtRsdTkUg3Ain,AGHgMylvvD,qVPnc1vJxOf0,6vHvaAAWtLXzmE,amex,order_complete,gb,usd,web,ORDER COMPLETED,gb,72da181860abcd96fb0e11a3b62c6ce5,2025-03-08T02:21:10.000000Z,2025-03-08T02:21:10.000000Z,2025-03-08T02:21:10.000000Z,2025-03-08T02:21:10.000000Z,2025-03-08T02:21:10.000000Z,1169,1800,2,858,1340,jamesvang@example.com,"[{""title"": null, ""category"": ""Shoes"", ""path"": ""/p/731"", ""url"": ""www.choixcart.com/p/731"", ""price"": 93}]",74.4,9.3,9.3,83.7
216.91.241.109,2025-05-09T13:42:48.000000Z,1746778368,www.choixcart.com/cart/view.html?ref=nav_cart,fiXnLLHtEh5SQPSrpGKn,M5IgbyB1zf,f4KMa6zfDGGF,FT1bJolsileQ4O,visa,order_complete,it,usd,web,ORDER COMPLETED,it,72da181860abcd96fb0e11a3b62c6ce5,2025-05-09T18:31:16.000000Z,2025-05-09T18:31:16.000000Z,2025-05-09T18:31:16.000000Z,2025-05-09T18:31:16.000000Z,2025-05-09T18:31:16.000000Z,600,800,1,1024,1280,jamesvang@example.com,"[{""title"": null, ""category"": ""Shirts"", ""path"": ""/p/763"", ""url"": ""www.choixcart.com/p/763"", ""price"": 167}]",133.6,16.7,16.7,150.3
206.159.143.186,2025-08-30T07:23:48.000000Z,1756518828,www.choixcart.com/cart/view.html?ref=nav_cart,IFwnFaGjzXnMi07xMkSL,ZtSn8Dc1u8,HVdBm5LjiNEx,pbkLRwSTjdoXtq,paypal,order_complete,us,usd,web,ORDER COMPLETED,us,72da181860abcd96fb0e11a3b62c6ce5,2025-08-30T17:48:45.000000Z,2025-08-30T17:48:45.000000Z,2025-08-30T17:48:45.000000Z,2025-08-30T17:48:45.000000Z,2025-08-30T17:48:45.000000Z,1080,1920,1,993,1920,jamesvang@example.com,"[{""title"": null, ""category"": ""Shirts"", ""path"": ""/p/763"", ""url"": ""www.choixcart.com/p/763"", ""price"": 167}]",133.6,16.7,16.7,150.3
71.161.162.59,2025-11-18T07:34:11.000000Z,1763431451,www.choixcart.com/cart/view.html?ref=nav_cart,wXHS5BkAF60J0CsstsKg,MdKxscqDat,BfqokjwmzZxQ,oRpIPU8878azlo,visa,order_complete,us,usd,web,ORDER COMPLETED,us,72da181860abcd96fb0e11a3b62c6ce5,2025-11-18T09:21:12.000000Z,2025-11-18T09:21:12.000000Z,2025-11-18T09:21:12.000000Z,2025-11-18T09:21:12.000000Z,2025-11-18T09:21:12.000000Z,1169,1800,2,858,1340,jamesvang@example.com,"[{""title"": null, ""category"": ""Trousers"", ""path"": ""/p/839"", ""url"": ""www.choixcart.com/p/839"", ""price"": 195}]",156.0,19.5,19.5,175.5
167.27.98.106,2024-10-26T09:57:13.000000Z,1729916833,"www.choixcart.com[{'page': {'id': 'QEEy73XDaeY2kHwz', 'context_ip': '167.27.98.106', 'name': 'login', 'path': '/login', 'context_session_id': 1729916833, 'url': 'www.choixcart.com/login', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'received_at': '2024-11-10T13:03:22.000000Z', 'sent_at': '2024-11-10T13:03:22.000000Z', 'original_timestamp': '2024-11-10T13:03:22.000000Z', 'timestamp': '2024-11-10T13:03:22.000000Z', 'uuid_ts': '2024-11-10T13:03:22.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'original_timestamp': '2024-11-10T13:03:22.000000Z', 'received_at': '2024-11-10T13:03:22.000000Z', 'sent_at': '2024-11-10T13:03:22.000000Z', 'timestamp': '2024-11-10T13:03:22.000000Z', 'uuid_ts': '2024-11-10T13:03:22.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_session_id': 1729916833, 'user_id': None, 'id': 'dNjJlC3OHM71sryN', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2024-11-10T13:03:22.000000Z', 'timestamp': '2024-11-10T13:03:22.000000Z', 'sent_at': '2024-11-10T13:03:22.000000Z', 'received_at': '2024-11-10T13:03:22.000000Z', 'original_timestamp': '2024-11-10T13:03:22.000000Z', 'last_name': 'Wiggins', 'first_name': 'Melissa', 'email': 'melissawiggins@example.com', 'context_screen_height': 1080, 'context_screen_width': 1920, 'context_screen_density': 1, 'context_screen_inner_height': 969, 'context_screen_inner_width': 1920, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'context_ip': '167.27.98.106', 'id': 'CXqlGyJqJ5gVxJud', 'context_session_start': '2024-10-26T09:57:13.000000Z', 'context_session_id': 1729916833, 'context_library_version': '1.1.4', 'context_page_url': 'www.choixcart.com/login', 'state': 'IL', 'address_country': 'US', 'currency': 'usd'}}]",HRxxHfIqKMsbYV1Odp55,LpaNoUtQ2d,N4mwY2eeYXdE,OSR9teq39KEye7,amex,order_complete,ca,usd,web,ORDER COMPLETED,ca,1c1718a7d4052c70dde6e1400e87187f,2024-11-10T22:42:29.000000Z,2024-11-10T22:42:29.000000Z,2024-11-10T22:42:29.000000Z,2024-11-10T22:42:29.000000Z,2024-11-10T22:42:29.000000Z,1080,1920,1,969,1920,melissawiggins@example.com,"[{""title"": null, ""category"": ""Trousers"", ""path"": ""/p/717"", ""url"": ""www.choixcart.com/p/717"", ""price"": 149}]",119.2,14.9,14.9,134.1
32.91.159.164,2024-12-17T05:05:29.000000Z,1734392129,"www.choixcart.com[{'page': {'id': 'CuN2qIB9T4NXtGfX', 'context_ip': '32.91.159.164', 'name': 'login', 'path': '/login', 'context_session_id': 1734392129, 'url': 'www.choixcart.com/login', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'received_at': '2024-12-28T07:58:50.000000Z', 'sent_at': '2024-12-28T07:58:50.000000Z', 'original_timestamp': '2024-12-28T07:58:50.000000Z', 'timestamp': '2024-12-28T07:58:50.000000Z', 'uuid_ts': '2024-12-28T07:58:50.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'original_timestamp': '2024-12-28T07:58:50.000000Z', 'received_at': '2024-12-28T07:58:50.000000Z', 'sent_at': '2024-12-28T07:58:50.000000Z', 'timestamp': '2024-12-28T07:58:50.000000Z', 'uuid_ts': '2024-12-28T07:58:50.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_session_id': 1734392129, 'user_id': 'melissawiggins@example.com', 'id': '5UTdR8SrZ6gCnb3A', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2024-12-28T07:58:50.000000Z', 'timestamp': '2024-12-28T07:58:50.000000Z', 'sent_at': '2024-12-28T07:58:50.000000Z', 'received_at': '2024-12-28T07:58:50.000000Z', 'original_timestamp': '2024-12-28T07:58:50.000000Z', 'last_name': 'Wiggins', 'first_name': 'Melissa', 'email': 'melissawiggins@example.com', 'context_screen_height': 720, 'context_screen_width': 1280, 'context_screen_density': 1, 'context_screen_inner_height': 551, 'context_screen_inner_width': 1280, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'context_ip': '32.91.159.164', 'id': 'tm8G9VkOkEomXBad', 'context_session_start': '2024-12-17T05:05:29.000000Z', 'context_session_id': 1734392129, 'context_library_version': '1.0.2', 'context_page_url': 'www.choixcart.com/login', 'state': 'ID', 'address_country': 'US', 'currency': 'usd'}}]",X1K2pdDQALVHwv15h5YJ,Dgk7GmpMBC,nlXOA6OolMhv,RGafHvWpXsLCdI,paypal,order_complete,gb,usd,web,ORDER COMPLETED,gb,1c1718a7d4052c70dde6e1400e87187f,2024-12-28T11:27:49.000000Z,2024-12-28T11:27:49.000000Z,2024-12-28T11:27:49.000000Z,2024-12-28T11:27:49.000000Z,2024-12-28T11:27:49.000000Z,720,1280,1,551,1280,melissawiggins@example.com,"[{""title"": null, ""category"": ""Formal Shoes"", ""path"": ""/p/341"", ""url"": ""www.choixcart.com/p/341"", ""price"": 75}]",60.0,7.5,7.5,67.5
12.110.43.37,2025-02-08T13:43:49.000000Z,1739002429,"www.choixcart.com[{'page': {'id': 'x0gfKmge8GhjuDzB', 'context_ip': '12.110.43.37', 'name': 'login', 'path': '/login', 'context_session_id': 1739002429, 'url': 'www.choixcart.com/login', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_app_namespace': 'com.rudderstack.javascript', 'context_page_referrer': None, 'context_page_referring_domain': None, 'context_page_path': '/cart/view.html?ref=nav_cart', 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'received_at': '2025-02-13T17:51:03.000000Z', 'sent_at': '2025-02-13T17:51:03.000000Z', 'original_timestamp': '2025-02-13T17:51:03.000000Z', 'timestamp': '2025-02-13T17:51:03.000000Z', 'uuid_ts': '2025-02-13T17:51:03.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_source': None, 'context_campaign_name': None, 'category': None, 'title': None}}, {'track': {'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'original_timestamp': '2025-02-13T17:51:03.000000Z', 'received_at': '2025-02-13T17:51:03.000000Z', 'sent_at': '2025-02-13T17:51:03.000000Z', 'timestamp': '2025-02-13T17:51:03.000000Z', 'uuid_ts': '2025-02-13T17:51:03.000000Z', 'context_campaign_medium': None, 'context_campaign_content': None, 'context_campaign_name': None, 'context_campaign_source': None, 'context_app_namespace': 'com.rudderstack.javascript', 'context_destination_id': 'iFPYxdHAjhL63W', 'context_destination_type': 'snowflake', 'context_session_id': 1739002429, 'user_id': 'melissawiggins@example.com', 'id': 'htATmKlXZgGD1JHa', 'channel': 'web', 'event_text': 'LOGIN', 'event': 'login'}}, {'identify': {'uuid_ts': '2025-02-13T17:51:03.000000Z', 'timestamp': '2025-02-13T17:51:03.000000Z', 'sent_at': '2025-02-13T17:51:03.000000Z', 'received_at': '2025-02-13T17:51:03.000000Z', 'original_timestamp': '2025-02-13T17:51:03.000000Z', 'last_name': 'Wiggins', 'first_name': 'Melissa', 'email': 'melissawiggins@example.com', 'context_screen_height': 720, 'context_screen_width': 1280, 'context_screen_density': 1, 'context_screen_inner_height': 551, 'context_screen_inner_width': 1280, 'context_campaign_term': None, 'context_campaign_source': None, 'context_campaign_name': None, 'context_campaign_medium': None, 'context_campaign_content': None, 'anonymous_id': '1c1718a7d4052c70dde6e1400e87187f', 'user_id': 'melissawiggins@example.com', 'context_ip': '12.110.43.37', 'id': 'oA93jMiyxTB1tZLI', 'context_session_start': '2025-02-08T13:43:49.000000Z', 'context_session_id': 1739002429, 'context_library_version': '0.10.4', 'context_page_url': 'www.choixcart.com/login', 'state': 'ID', 'address_country': 'US', 'currency': 'usd'}}]",m9YwO8WOFPDCcSM255vG,v1letHHhjd,Fe6aYY3Cn8oX,jIrqjWj3DaZQXW,amex,order_complete,it,usd,web,ORDER COMPLETED,it,1c1718a7d4052c70dde6e1400e87187f,2025-02-13T21:38:35.000000Z,2025-02-13T21:38:35.000000Z,2025-02-13T21:38:35.000000Z,2025-02-13T21:38:35.000000Z,2025-02-13T21:38:35.000000Z,720,1280,1,551,1280,melissawiggins@example.com,"[{""title"": null, ""category"": ""Shoes"", ""path"": ""/p/589"", ""url"": ""www.choixcart.com/p/589"", ""price"": 137}]",109.6,13.7,13.7,123.3
