id,context_ip,name,path,context_session_id,url,context_destination_id,context_destination_type,context_app_namespace,context_page_referrer,context_page_referring_domain,context_page_path,anonymous_id,user_id,received_at,sent_at,original_timestamp,timestamp,uuid_ts,context_campaign_medium,context_campaign_content,context_campaign_source,context_campaign_name,category,title
apeCILLmJUnKa0K6,29.73.82.32,home-page,,1731621992,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,e79e4db197cb463c5a615b9467536843,,2024-11-15T03:36:32.000000Z,2024-11-15T03:36:32.000000Z,2024-11-15T03:36:32.000000Z,2024-11-15T03:36:32.000000Z,2024-11-15T03:36:32.000000Z,email,gsf4dsgs,email,cmpn_125,,
b1xGHU7eydvfQ7nG,29.73.82.32,signup,/signup,1731621992,www.choixcart.com/signup,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,2024-11-23T03:37:28.000000Z,email,gsf4dsgs,email,cmpn_125,,
YU5sUnmrl2uAV65h,29.73.82.32,cart-add,/cart/view.html?ref=nav_cart,1731621992,www.choixcart.com/cart/view.html?ref=nav_cart,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,/p/780,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,2024-11-23T04:52:56.000000Z,email,gsf4dsgs,email,cmpn_125,,
OMzRRtZTKWNEfUH7,29.73.82.32,order_completed,/order/success,1731621992,www.choixcart.com/order/success,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,$direct,,/cart/view.html?ref=nav_cart,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,2024-11-23T09:27:47.000000Z,email,gsf4dsgs,email,cmpn_125,,
RPCBFuPFqLgX9OdG,220.160.141.46,home-page,,1734678407,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2024-12-20T12:36:47.000000Z,2024-12-20T12:36:47.000000Z,2024-12-20T12:36:47.000000Z,2024-12-20T12:36:47.000000Z,2024-12-20T12:36:47.000000Z,ppc,cdasareravf,bing,cmpn_830,,
LVvFBV9nRrGzkQDc,220.160.141.46,signup,/signup,1734678407,www.choixcart.com/signup,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,2025-01-03T12:37:04.000000Z,ppc,cdasareravf,bing,cmpn_830,,
k7g3l2z1JCxlKRR1,220.160.141.46,cart-add,/p/979,1734678407,www.choixcart.com/p/979,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/p/979,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,2025-01-03T16:27:32.000000Z,ppc,cdasareravf,bing,cmpn_830,Watches,
WME21QeqSNFGDGFL,220.160.141.46,order_completed,/order/success,1734678407,www.choixcart.com/order/success,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,https://www.bing.com,bing.com,/cart/view.html?ref=nav_cart,e79e4db197cb463c5a615b9467536843,nicholson.christopher994@example.org,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,2025-01-03T20:57:13.000000Z,ppc,cdasareravf,bing,cmpn_830,,
2uW24PHmWbnyTBL9,80.4.19.8,home-page,,1731308619,www.choixcart.com,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2024-11-11T12:33:39.000000Z,2024-11-11T12:33:39.000000Z,2024-11-11T12:33:39.000000Z,2024-11-11T12:33:39.000000Z,2024-11-11T12:33:39.000000Z,,,,,,
x8N0yyqsiECRmVqA,80.4.19.8,product-view,/p/835,1731308619,www.choixcart.com/p/835,iFPYxdHAjhL63W,snowflake,com.rudderstack.javascript,,,,06ca445afa5b319dd8b76bc53065fb81,,2024-11-28T12:33:39.000000Z,2024-11-28T12:33:39.000000Z,2024-11-28T12:33:39.000000Z,2024-11-28T12:33:39.000000Z,2024-11-28T12:33:39.000000Z,,,,,Jeans,
